claim_id,policy_id,customer_id,claim_date,claim_type,claim_amount,claim_status,days_to_settle,fraud_indicator,adjuster_id
CLM0000001,POL0039370,CUST006519,2021-09-04,Liability,46923.45,Under Investigation,,0,ADJ018
CLM0000002,POL0036061,CUST006815,2022-09-07,Water Damage,61049.13,Approved,67.0,0,ADJ050
CLM0000003,POL0059037,CUST009657,2022-04-21,Liability,37721.93,Approved,53.0,0,ADJ003
CLM0000004,POL0017949,CUST014091,2022-08-13,Fire,30302.49,Under Investigation,,0,ADJ007
CLM0000005,POL0037102,CUST000884,2023-11-22,Storm,44746.94,Approved,5.0,0,ADJ028
CLM0000006,POL0035589,CUST004639,2021-01-28,Critical Illness,447552.51,Denied,76.0,0,ADJ048
CLM0000008,POL0074667,CUST013232,2021-12-06,Mental Health,28437.96,Approved,86.0,0,ADJ023
CLM0000009,POL0026313,CUST007357,2023-11-10,Disability,373174.32,Approved,7.0,0,ADJ012
CLM0000011,POL0025527,CUST014080,2024-12-13,Critical Illness,257815.68,Denied,28.0,0,ADJ039
CLM0000012,POL0003604,CUST009230,2021-06-14,Storm,8054.7,Approved,1.0,0,ADJ039
CLM0000013,POL0017082,CUST003840,2022-11-24,Theft,33511.71,Under Investigation,,0,ADJ018
CLM0000015,POL0001759,CUST013691,2024-01-14,Dental,20611.51,Under Investigation,,0,ADJ030
CLM0000016,POL0024850,CUST005934,2023-01-03,Water Damage,12795.11,Denied,65.0,0,ADJ016
CLM0000017,POL0019762,CUST005764,2022-09-19,Water Damage,32943.4,Denied,29.0,0,ADJ046
CLM0000018,POL0016788,CUST008888,2025-02-18,Disability,800910.3,Denied,48.0,0,ADJ012
CLM0000020,POL0025450,CUST013108,2021-07-03,Death,449944.21,Approved,10.0,1,ADJ048
CLM0000021,POL0072010,CUST008303,2023-11-13,Fire,65610.56,Approved,25.0,0,ADJ032
CLM0000022,POL0062527,CUST012787,2025-06-13,Theft,1106.72,Approved,18.0,0,ADJ047
CLM0000023,POL0039366,CUST007960,2024-04-03,Water Damage,22896.95,Approved,116.0,0,ADJ043
CLM0000024,POL0042557,CUST009992,2025-01-29,Water Damage,113248.87,Approved,149.0,0,ADJ047
CLM0000025,POL0020861,CUST008247,2025-01-25,Theft,2106.64,Approved,24.0,0,ADJ010
CLM0000027,POL0068604,CUST001022,2024-11-04,Collision,3409.85,Approved,41.0,0,ADJ012
CLM0000028,POL0063345,CUST006883,2021-09-09,Theft,6376.37,Approved,2.0,0,ADJ039
CLM0000029,POL0054527,CUST011061,2023-11-25,Critical Illness,400216.75,Denied,21.0,0,ADJ006
CLM0000030,POL0071031,CUST009774,2022-09-12,Comprehensive,2413.19,Approved,57.0,0,ADJ016
CLM0000031,POL0070974,CUST006641,2022-09-30,Disability,636468.25,Denied,71.0,1,ADJ039
CLM0000032,POL0007428,CUST000658,2023-11-25,Fire,33640.75,Approved,22.0,0,ADJ037
CLM0000033,POL0040424,CUST004620,2023-06-01,Liability,43475.26,Approved,105.0,0,ADJ014
CLM0000034,POL0012102,CUST008818,2023-08-26,Liability,6376.92,Pending,,0,ADJ020
CLM0000035,POL0064878,CUST004576,2023-11-15,Property,5005.48,Approved,9.0,0,ADJ006
CLM0000036,POL0048642,CUST008398,2024-01-17,Comprehensive,5521.77,Approved,21.0,0,ADJ031
CLM0000037,POL0043074,CUST003568,2025-01-26,Theft,10429.1,Approved,6.0,0,ADJ040
CLM0000038,POL0044673,CUST013396,2024-07-10,Death,257045.0,Approved,229.0,0,ADJ024
CLM0000039,POL0020790,CUST000927,2023-08-09,Vision,34178.14,Approved,70.0,0,ADJ049
CLM0000040,POL0051060,CUST006459,2022-09-09,Medical,16777.64,Approved,3.0,0,ADJ032
CLM0000041,POL0011093,CUST002354,2025-05-12,Critical Illness,766180.51,Approved,86.0,0,ADJ037
CLM0000043,POL0064157,CUST004152,2024-06-26,Theft,13879.95,Approved,9.0,0,ADJ026
CLM0000044,POL0001084,CUST003095,2023-04-21,Water Damage,27188.34,Approved,7.0,0,ADJ001
