interaction_id,customer_id,interaction_date,interaction_type,channel,duration_minutes,satisfaction_score,resolution_status,agent_id
INT00000001,CUST012896,2022-02-13,Claim Support,Phone,17,3,Resolved,AGT161
INT00000002,CUST011991,2025-06-25,Billing Question,Email,3,3,Pending,AGT007
INT00000003,CUST000872,2022-10-02,New Policy,Chat,5,4,Resolved,AGT195
INT00000004,CUST012241,2020-10-13,New Policy,Email,6,4,Resolved,AGT007
INT00000005,CUST000172,2024-05-20,New Policy,Mobile App,12,5,Resolved,AGT081
INT00000006,CUST012189,2024-01-22,Inquiry,Phone,3,4,Resolved,AGT007
INT00000007,CUST012485,2021-11-21,Inquiry,Email,2,5,Pending,AGT074
INT00000008,CUST006357,2021-10-22,Inquiry,Mobile App,7,3,Resolved,AGT045
INT00000009,CUST012868,2025-06-02,Policy Change,Email,15,4,Resolved,AGT157
INT00000010,CUST007103,2025-03-05,Inquiry,Chat,1,3,Resolved,AGT180
INT00000011,CUST011940,2021-09-04,Complaint,Phone,12,4,Resolved,AGT077
INT00000012,CUST012377,2023-03-13,Billing Question,Chat,18,3,Resolved,AGT175
INT00000013,CUST009914,2024-06-23,Complaint,Phone,34,3,Resolved,AGT126
INT00000014,CUST004186,2025-01-30,Complaint,Mobile App,21,2,Resolved,AGT074
INT00000015,CUST007661,2022-10-06,Policy Change,Phone,16,3,Resolved,AGT170
INT00000016,CUST012381,2025-06-25,Policy Change,Chat,8,1,Pending,AGT085
INT00000017,CUST008284,2021-06-13,Claim Support,Phone,74,2,Pending,AGT162
INT00000018,CUST000552,2025-03-22,Cancellation Request,Email,4,4,Resolved,AGT084
INT00000019,CUST011727,2023-02-06,Claim Support,Phone,19,4,Closed,AGT163
INT00000020,CUST006511,2023-09-24,Policy Change,Chat,16,2,Escalated,AGT115
INT00000021,CUST010196,2021-04-26,Inquiry,Phone,28,4,Resolved,AGT128
INT00000022,CUST005911,2025-05-23,Complaint,Mobile App,64,2,Escalated,AGT163
INT00000023,CUST005212,2023-03-21,Inquiry,Email,5,3,Resolved,AGT124
INT00000024,CUST000583,2024-10-08,Inquiry,Email,1,3,Resolved,AGT045
INT00000025,CUST007211,2024-07-07,Billing Question,In-Person,20,3,Escalated,AGT087
INT00000026,CUST004543,2025-06-22,Inquiry,Email,1,2,Pending,AGT074
INT00000027,CUST001683,2021-07-29,Cancellation Request,Chat,7,3,Resolved,AGT040
INT00000028,CUST000560,2024-08-07,Inquiry,Phone,14,2,Resolved,AGT153
INT00000029,CUST013356,2024-07-21,Policy Change,Phone,2,1,Resolved,AGT137
